order_id,method
42,jcb
72,laser
77,jcb
9,jcb
90,switch
55,americanexpress
43,americanexpress
36,switch
54,visa-electron
58,visa-electron
58,americanexpress
67,americanexpress
69,china-unionpay
78,solo
28,jcb
84,switch
4,jcb
92,mastercard
32,jcb
98,solo
48,mastercard
1,jcb
56,jcb
47,jcb
61,jcb
13,bankcard
78,jcb
91,jcb
59,jcb
99,jcb
57,jcb
45,diners-club-enroute
49,maestro
34,maestro
8,jcb
2,jcb
2,diners-club-enroute
93,jcb
35,jcb
75,jcb
85,switch
98,instapayment
57,solo
83,visa
81,americanexpress
71,jcb
55,jcb
27,china-unionpay
40,diners-club-enroute
94,americanexpress
21,jcb
7,jcb
26,jcb
79,americanexpress
52,jcb
88,jcb
34,jcb
51,diners-club-enroute
15,mastercard
23,jcb
36,switch
47,jcb
52,switch
10,china-unionpay
31,jcb
84,jcb
30,americanexpress
24,laser
49,jcb
75,visa-electron
94,maestro
7,americanexpress
90,jcb
62,diners-club-international
4,china-unionpay
38,jcb
10,jcb
80,diners-club-carte-blanche
15,diners-club-enroute
73,jcb
9,maestro
62,bankcard
69,bankcard
73,mastercard
13,diners-club-enroute
66,jcb
99,jcb
32,jcb
20,china-unionpay
93,visa
95,jcb
95,maestro
13,laser
70,jcb
4,mastercard
90,maestro
88,mastercard
54,jcb
56,americanexpress
72,jcb
